City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Aksu,CN,74.66,clear sky,41.12,80.26,Pudong Holiday Hotel
339,Pangkalanbuun,ID,82.45,broken clouds,-2.68,111.62,Grand Kecubung Hotel
340,Popondetta,PG,88.83,overcast clouds,-8.75,148.25,Timos Transit House
342,Sinnamary,GF,78.91,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
345,Changanacheri,IN,76.77,overcast clouds,9.47,76.55,Pulikottu Jisvilla
348,Malakal,SS,73.42,clear sky,9.53,31.66,Nile Palace Hotel
352,Yuncheng,CN,77.36,scattered clouds,35.02,110.99,晋州快捷酒店
353,Otaru,JP,75.2,few clouds,43.19,141.0,GRAND PARK OTARU
354,Pasni,PK,82.78,overcast clouds,25.26,63.47,3G hotel pasni
355,Mayumba,GA,72.57,clear sky,-3.43,10.66,LIKWALE LODGE
356,Cabatuan,PH,84.13,light rain,10.88,122.49,Tobias Hime
357,Pasighat,IN,79.61,overcast clouds,28.07,95.33,Siang Guest House
360,Kedougou,SN,75.2,thunderstorm with light rain,12.56,-12.17,Relais de Kédougou
361,Palauig,PH,84.42,overcast clouds,15.44,119.9,Myhousebythesea
362,Daru,PG,80.47,overcast clouds,-9.08,143.21,New century hotel
364,Alexandria,EG,77.0,clear sky,31.22,29.96,Royal Crown Hotel
365,Lixourion,GR,76.44,clear sky,38.2,20.43,Summery Hotel
366,Nemuro,JP,73.4,broken clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
368,Candido Mendes,BR,75.27,clear sky,-1.45,-45.72,Quebrada Do Mlk PJL
369,Tatawin,TN,80.6,clear sky,32.93,10.45,Sangho Privilege Tataouine
370,Wanning,CN,84.13,few clouds,18.8,110.4,Paradise Hotel
371,Pacific Grove,US,75.0,clear sky,36.62,-121.92,Lovers Point Inn
372,Santa Barbara,US,84.0,haze,34.42,-119.7,Kimpton Canary Hotel
373,Forio,IT,75.99,clear sky,40.73,13.86,Hotel Terme Providence
374,Bethel,US,75.0,few clouds,41.37,-73.41,Courtyard by Marriott Danbury
375,Shimoda,JP,77.0,light intensity shower rain,34.67,138.95,Shimoda Tokyu Hotel
376,Owando,CG,72.27,overcast clouds,-0.48,15.9,Exaunel Hotel Owando
377,Sal Rei,CV,80.6,scattered clouds,16.18,-22.92,Marine Club Beach Resort
378,Amuntai,ID,85.64,few clouds,-2.42,115.25,Hotel Balqis
388,Jiayuguan,CN,71.65,broken clouds,39.82,98.3,Jiugang Hotel - Jiayuguan
392,Los Llanos De Aridane,ES,73.4,few clouds,28.66,-17.92,Valle Aridane
393,Shibetsu,JP,73.4,broken clouds,43.66,145.13,Hotel Kawabata Shibetsu
398,Dakar,SN,82.4,overcast clouds,14.69,-17.44,Novotel Dakar
399,Hasaki,JP,81.0,shower rain,35.73,140.83,Inubosaki Kanko Hotel
400,Arani,IN,78.85,overcast clouds,12.67,79.28,KPK LODGE
401,Hilton Head Island,US,82.99,broken clouds,32.22,-80.75,Hampton Inn Hilton Head
405,Zaraza,VE,74.14,overcast clouds,9.35,-65.32,Hotel Zaraza
406,Komatsu,JP,82.4,scattered clouds,36.4,136.45,APAHOTEL KOMATSU GRAND
407,Touros,BR,73.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
409,Ugoofaaru,MV,83.39,overcast clouds,5.67,73.0,Ungoofaaru Inn
410,Adrian,US,75.99,clear sky,41.9,-84.04,Holiday Inn Express Adrian
412,Bhadrapur,NP,77.0,broken clouds,26.54,88.09,Hotel Riwaj
413,Monrovia,LR,77.0,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
414,Kushima,JP,87.8,scattered clouds,31.46,131.23,Hanaoka
419,Fairbanks,US,75.2,clear sky,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
420,Kalaikunda,IN,80.38,light rain,22.35,87.25,Atithi Guest House
423,Syracuse,IT,77.0,clear sky,37.09,15.28,Hotel Posta
425,Padang,ID,80.19,light rain,-0.95,100.35,Mercure Padang
430,Pangai,TO,80.6,few clouds,-19.8,-174.35,Ha'apai Beach Resort
431,Hachinohe,JP,75.2,broken clouds,40.5,141.5,Hachinohe Grand Hotel
432,Santa Isabel Do Rio Negro,BR,74.91,few clouds,-0.41,-65.02,Hotel GSA
435,Sabang,ID,81.91,overcast clouds,5.89,95.32,Hotel Citra
443,Miandrivazo,MG,70.07,scattered clouds,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
444,Kon Tum,VN,75.61,scattered clouds,14.35,108.0,Hoa đà spa- homestay
449,Lompoc,US,77.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
450,Dingle,PH,83.8,light rain,11.0,122.67,Camp Pasica
453,Riyadh,SA,87.8,clear sky,24.69,46.72,InterContinental Riyadh
454,Samana,DO,78.8,thunderstorm with rain,19.21,-69.34,The Bannister - Hotel & Yacht Club
458,Yining,CN,84.85,clear sky,29.04,114.56,Xiushui Hotel
462,Caravelas,BR,72.52,light rain,-17.71,-39.25,Pousada dos Navegantes
466,Hit,IQ,83.23,clear sky,33.64,42.83,Aboody Alhachem
475,Moroni,KM,75.2,overcast clouds,-11.7,43.26,Hotel les Arcades
478,Negombo,LK,78.8,scattered clouds,7.21,79.84,Hotel Sunset Beach
479,Brigantine,US,75.99,clear sky,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
481,Itarema,BR,77.36,clear sky,-2.92,-39.92,Windvillage
482,Manaus,BR,78.8,broken clouds,-3.1,-60.02,Hotel do Largo
484,Nara,JP,88.0,few clouds,34.69,135.8,Guesthouse Nara Komachi
489,Alta Floresta,BR,78.58,scattered clouds,-9.88,-56.09,Floresta Amazonica Hotel
492,Martapura,ID,84.2,few clouds,-3.42,114.85,Montana Hotel Syariah
496,Tura,IN,76.19,clear sky,25.52,90.22,Hotel RIKMAN Continental
497,Progreso,MX,82.99,broken clouds,21.28,-89.67,Playa Linda Hotel
498,Kikwit,CD,76.01,broken clouds,-5.04,18.82,Centre D'Accueil Protestant
499,Hailin,CN,71.62,overcast clouds,44.58,129.42,Grand Legend Hotel
500,Mazagao,BR,84.2,few clouds,-0.12,-51.29,Casa Lima Santos
501,Sand Springs,US,87.8,clear sky,36.14,-96.11,Magnuson Hotel Sand Springs-Tulsa West
502,Veraval,IN,81.68,moderate rain,20.9,70.37,Lords Inn Somnath
503,Barcelona,ES,78.01,few clouds,41.39,2.16,Axel Hotel Barcelona
509,Kiunga,PG,81.55,broken clouds,-6.12,141.29,Airport Lodge Kiunga
510,Lorengau,PG,85.77,clear sky,-2.02,147.27,Lorengau Harbourside Hotel
513,Itapaci,BR,74.91,scattered clouds,-14.95,-49.55,Gold Pallace Hotel
517,Porangatu,BR,82.85,broken clouds,-13.44,-49.15,Wembley Park Hotel
518,Maningrida,AU,84.15,clear sky,-12.07,134.27,Dhukurrdji Lodge
521,Sao Mateus Do Maranhao,BR,74.12,clear sky,-4.04,-44.48,Pousada Pingo De Ouro
530,Angoche,MZ,71.29,overcast clouds,-16.23,39.91,Guest House HESADA
534,Biltine,TD,73.87,moderate rain,14.53,20.92,Hôtel Trois Étoiles de Biltine
536,Darnah,LY,78.06,clear sky,32.77,22.64,زاوية الرفاعي
537,The Valley,AI,82.4,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
538,Tuy Hoa,VN,83.75,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
541,Sur,OM,81.03,broken clouds,22.57,59.53,Sur Plaza Hotel
546,Jiaozuo,CN,76.93,broken clouds,35.24,113.23,Days Hotel and Suites Jiaozuo
549,Minot,US,80.6,clear sky,48.23,-101.3,Noble Inn
550,Santa Rosa,PH,88.0,overcast clouds,14.31,121.11,Amethyst Econotel
557,Tautira,PF,82.4,scattered clouds,-17.73,-149.15,Pension Oaoa
559,Toba Tek Singh,PK,85.57,clear sky,30.97,72.48,Haji Muhammad Ashraf(x Consular)
