City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Saint George,US,2020-08-21 02:34:49,37.1,-113.58,104.0,11,1,10.29
95,Mataura,NZ,2020-08-21 02:34:10,-46.19,168.86,50.0,96,100,3.0
96,Mount Airy,US,2020-08-21 02:37:09,36.5,-80.61,69.01,91,64,3.06
97,Lorengau,PG,2020-08-21 02:35:01,-2.02,147.27,86.04,67,10,10.83
98,Laguna,US,2020-08-21 02:35:47,38.42,-121.42,84.0,37,90,6.93
99,Indramayu,ID,2020-08-21 02:37:09,-6.33,108.32,85.26,62,44,18.07
100,San Patricio,MX,2020-08-21 02:34:53,19.22,-104.7,78.35,82,100,2.77
101,Minas,UY,2020-08-21 02:37:10,-34.38,-55.24,39.2,86,0,6.93
102,Cairns,AU,2020-08-21 02:33:03,-16.92,145.77,86.0,42,0,8.05
103,Vasterhaninge,SE,2020-08-21 02:37:11,59.12,18.1,64.4,100,90,5.82
104,Esperance,AU,2020-08-21 02:34:44,-33.87,121.9,55.4,76,40,11.41
105,Puerto Colombia,CO,2020-08-21 02:33:00,10.99,-74.95,78.8,94,40,6.58
106,Tuatapere,NZ,2020-08-21 02:34:38,-46.13,167.68,50.0,96,89,3.0
107,Laurel,US,2020-08-21 02:32:51,39.1,-76.85,72.0,93,1,6.13
108,Jinchang,CN,2020-08-21 02:32:29,38.5,102.17,76.39,42,94,15.23
109,Matara,LK,2020-08-21 02:35:27,5.95,80.54,81.32,78,88,10.02
110,Jamestown,US,2020-08-21 02:34:08,42.1,-79.24,63.0,77,1,3.29
111,Huarmey,PE,2020-08-21 02:37:13,-10.07,-78.15,61.11,82,99,6.24
112,Mahebourg,MU,2020-08-21 02:34:27,-20.41,57.7,66.2,77,20,5.82
113,Roald,NO,2020-08-21 02:37:13,62.58,6.13,60.01,93,97,3.36
114,Ceica,RO,2020-08-21 02:37:13,46.85,22.18,61.0,93,2,4.7
115,New Norfolk,AU,2020-08-21 02:33:36,-42.78,147.06,51.01,76,70,1.99
116,Chateauroux,FR,2020-08-21 02:37:14,46.82,1.7,68.0,88,98,11.41
117,Longyearbyen,SJ,2020-08-21 02:35:01,78.22,15.64,41.0,80,75,11.41
118,Mitchell,US,2020-08-21 02:36:51,43.71,-98.03,77.0,78,1,6.93
